Specie	TE_class	TE_order	TE_lineage	Abundance_absolute	Relative_pct
R_tenuis	Class_II	Subclass_2	Helitron	11	0,245
R_tenuis_sub_austrobrasiliensis	Class_I	LTR	Copia	5392	64,6368
R_tenuis_sub_austrobrasiliensis	Class_I	LTR	Gypsy	1936	23,2079
R_tenuis_sub_austrobrasiliensis	Class_I	LTR	Other	635	7,6121
R_tenuis_sub_austrobrasiliensis	Class_I	LINE	LINE	59	0,7073
R_tenuis_sub_austrobrasiliensis	Class_I	Pararetrovirus	Pararetrovirus	1	0,012
R_tenuis_sub_austrobrasiliensis	Class_II	Subclass_1	PIF/Harbinger	1	0,012
R_tenuis_sub_austrobrasiliensis	Class_II	Subclass_1	EnSpm/CACTA	3	0,036
R_tenuis_sub_austrobrasiliensis	Class_II	Subclass_1	hAT	208	2,4934
R_tenuis_sub_austrobrasiliensis	Class_II	Subclass_1	MuDR/Mutator	101	1,2107
R_tenuis_sub_austrobrasiliensis	Class_II	Subclass_1	Merlin	0	0,0
R_tenuis_sub_austrobrasiliensis	Class_II	Subclass_2	Helitron	6	0,0719
R_riparia	Class_I	LTR	Copia	1253	60,2404
R_riparia	Class_I	LTR	Gypsy	401	19,2788
R_riparia	Class_I	LTR	Other	171	8,2212
R_riparia	Class_I	LINE	LINE	128	6,1538
R_riparia	Class_I	Pararetrovirus	Pararetrovirus	1	0,0481
R_riparia	Class_II	Subclass_1	PIF/Harbinger	2	0,0962
R_riparia	Class_II	Subclass_1	EnSpm/CACTA	4	0,1923
R_riparia	Class_II	Subclass_1	hAT	42	2,0192
R_riparia	Class_II	Subclass_1	MuDR/Mutator	43	2,0673
R_riparia	Class_II	Subclass_1	Merlin	0	0,0
R_riparia	Class_II	Subclass_2	Helitron	35	1,6827
R_barbata	Class_I	LTR	Copia	5000	44,0025
R_barbata	Class_I	LTR	Gypsy	5585	49,1508
R_barbata	Class_I	LTR	Other	334	2,9394
R_barbata	Class_I	LINE	LINE	84	0,7392
R_barbata	Class_I	Pararetrovirus	Pararetrovirus	0	0,0
R_barbata	Class_II	Subclass_1	PIF/Harbinger	1	0,0088
R_barbata	Class_II	Subclass_1	EnSpm/CACTA	76	0,6688
R_barbata	Class_II	Subclass_1	hAT	200	1,7601
R_barbata	Class_II	Subclass_1	MuDR/Mutator	77	0,6776
R_barbata	Class_II	Subclass_1	Merlin	0	0,0
R_barbata	Class_II	Subclass_2	Helitron	6	0,0528
R_holoschoenoides	Class_I	LTR	Copia	863	50,9145
R_holoschoenoides	Class_I	LTR	Gypsy	128	7,5516
R_holoschoenoides	Class_I	LTR	Other	41	2,4189
R_holoschoenoides	Class_I	LINE	LINE	253	14,9263
R_holoschoenoides	Class_I	Pararetrovirus	Pararetrovirus	4	0,236
R_holoschoenoides	Class_II	Subclass_1	PIF/Harbinger	20	1,1799
R_holoschoenoides	Class_II	Subclass_1	EnSpm/CACTA	3	0,177
R_holoschoenoides	Class_II	Subclass_1	hAT	290	17,1091
R_holoschoenoides	Class_II	Subclass_1	MuDR/Mutator	56	3,3038
R_holoschoenoides	Class_II	Subclass_1	Merlin	0	0,0
R_holoschoenoides	Class_II	Subclass_2	Helitron	37	2,1829
R_corymbosa	Class_I	LTR	Copia	1142	63,515
R_corymbosa	Class_I	LTR	Gypsy	365	20,3003
R_corymbosa	Class_I	LTR	Other	39	2,1691
R_corymbosa	Class_I	LINE	LINE	20	1,1123
R_corymbosa	Class_I	Pararetrovirus	Pararetrovirus	6	0,3337
R_corymbosa	Class_II	Subclass_1	PIF/Harbinger	1	0,0556
R_corymbosa	Class_II	Subclass_1	EnSpm/CACTA	3	0,1669
R_corymbosa	Class_II	Subclass_1	hAT	124	6,8966
R_corymbosa	Class_II	Subclass_1	MuDR/Mutator	93	5,1724
R_corymbosa	Class_II	Subclass_1	Merlin	0	0,0
R_corymbosa	Class_II	Subclass_2	Helitron	5	0,2781
Total	Class_I	LTR	Copia	53877	62,0053
Total	Class_I	LTR	Gypsy	18157	20,8963
Total	Class_I	LTR	Other	5758	6,6267
Total	Class_I	LINE	LINE	2235	2,5722
Total	Class_I	Pararetrovirus	Pararetrovirus	145	0,1669
Total	Class_II	Subclass_1	PIF/Harbinger	2570	2,9577
Total	Class_II	Subclass_1	EnSpm/CACTA	947	1,0899
Total	Class_II	Subclass_1	hAT	1578	1,8161
Total	Class_II	Subclass_1	MuDR/Mutator	739	0,8505
Total	Class_II	Subclass_1	Merlin	18	0,0207
Total	Class_II	Subclass_2	Helitron	867	0,9978
