element_group	superfamily	lineage	structural_status	element_length_bp	ltr_length_bp	ltr1_length_bp	ltr2_length_bp
LTR_retrotransposon	Copia	Ale	complete	4827	164		
LTR_retrotransposon	Copia	Ale	complete	4828	163		
LTR_retrotransposon	Copia	Ale	complete	4828	329		
LTR_retrotransposon	Copia	Ale	complete	4828	211		
LTR_retrotransposon	Copia	Ale	complete	4829	405		
LTR_retrotransposon	Copia	Ale	complete	4830	183		
LTR_retrotransposon	Copia	Ale	complete	4830	201		
LTR_retrotransposon	Copia	Ale	complete	4831	329		
LTR_retrotransposon	Copia	Ale	complete	4831	346		
LTR_retrotransposon	Copia	Ale	complete	4832	309		
LTR_retrotransposon	Copia	Ale	complete	4834	330		
LTR_retrotransposon	Copia	Ale	complete	4835	162		
LTR_retrotransposon	Copia	Ale	complete	4836	167		
LTR_retrotransposon	Copia	Ale	complete	4836	198		
LTR_retrotransposon	Copia	Ale	complete	4836	167		
LTR_retrotransposon	Copia	Ale	complete	4836	360		
LTR_retrotransposon	Copia	Ale	complete	4837	328		
LTR_retrotransposon	Copia	Ale	complete	4837	201		
LTR_retrotransposon	Copia	Ale	complete	4837	202		
LTR_retrotransposon	Copia	Ale	complete	4837	486		
LTR_retrotransposon	Copia	Ale	complete	4838	413		
LTR_retrotransposon	Copia	Ale	complete	4838	405		
LTR_retrotransposon	Copia	Ale	complete	4838	312		
LTR_retrotransposon	Copia	Ale	complete	4839	304		
LTR_retrotransposon	Copia	Ale	complete	4840	329		
LTR_retrotransposon	Copia	Ale	complete	4840	264		
LTR_retrotransposon	Copia	Ale	complete	4841	301		
LTR_retrotransposon	Copia	Ale	complete	4841	369		
LTR_retrotransposon	Copia	Ale	complete	4842	149		
LTR_retrotransposon	Copia	Ale	complete	4842	201		
LTR_retrotransposon	Copia	Ale	complete	4843	188		
LTR_retrotransposon	Copia	Ale	complete	4843	321		
LTR_retrotransposon	Copia	Ale	complete	4844	304		
LTR_retrotransposon	Copia	Ale	complete	4844	161		
LTR_retrotransposon	Copia	Ale	complete	4846	162		
LTR_retrotransposon	Copia	Ale	complete	4846	329		
LTR_retrotransposon	Copia	Ale	complete	4847	172		
LTR_retrotransposon	Copia	Ale	complete	4847	395		
LTR_retrotransposon	Copia	Ale	complete	4847	394		
LTR_retrotransposon	Copia	Ale	complete	4847	170		
LTR_retrotransposon	Copia	Ale	complete	4848	162		
LTR_retrotransposon	Copia	Ale	complete	4849	331		
LTR_retrotransposon	Copia	Ale	complete	4850	201		
LTR_retrotransposon	Copia	Ale	complete	4850	290		
LTR_retrotransposon	Copia	Ale	complete	4850	329		
LTR_retrotransposon	Copia	Ale	complete	4850	255		
LTR_retrotransposon	Copia	Ale	complete	4850	181		
LTR_retrotransposon	Copia	Ale	complete	4851	466		
LTR_retrotransposon	Copia	Ale	complete	4851	329		
LTR_retrotransposon	Copia	Ale	complete	4852	192		
LTR_retrotransposon	Copia	Ale	complete	4853	162		
LTR_retrotransposon	Copia	Ale	complete	4854	329		
LTR_retrotransposon	Copia	Ale	complete	4854	163		
LTR_retrotransposon	Copia	Ale	complete	4854	188		
LTR_retrotransposon	Copia	Ale	complete	4854	330		
LTR_retrotransposon	Copia	Ale	complete	4855	326		
LTR_retrotransposon	Copia	Ale	complete	4856	150		
LTR_retrotransposon	Copia	Ale	complete	4857	317		
LTR_retrotransposon	Copia	Ale	complete	4857	162		
LTR_retrotransposon	Copia	Ale	complete	4857	166		
LTR_retrotransposon	Copia	Ale	complete	4858	287		
LTR_retrotransposon	Copia	Ale	complete	4859	261		
LTR_retrotransposon	Copia	Ale	complete	4860	315		
LTR_retrotransposon	Copia	Ale	complete	4861	423		
LTR_retrotransposon	Copia	Ale	complete	4861	330		
LTR_retrotransposon	Copia	Ale	complete	4862	222		
LTR_retrotransposon	Copia	Ale	complete	4864	299		
LTR_retrotransposon	Copia	Ale	complete	4864	170		
LTR_retrotransposon	Copia	Ale	complete	4864	164		
LTR_retrotransposon	Copia	Ale	complete	4865	301		
LTR_retrotransposon	Copia	Ale	complete	4865	201		
LTR_retrotransposon	Copia	Ale	complete	4865	331		
LTR_retrotransposon	Copia	Ale	complete	4865	133		
LTR_retrotransposon	Copia	Ale	complete	4866	174		
LTR_retrotransposon	Copia	Ale	complete	4867	329		
LTR_retrotransposon	Copia	Ale	complete	4867	274		
LTR_retrotransposon	Copia	Ale	complete	4867	322		
LTR_retrotransposon	Copia	Ale	complete	4869	277		
LTR_retrotransposon	Copia	Ale	complete	4869	324		
LTR_retrotransposon	Copia	Ale	complete	4870	163		
LTR_retrotransposon	Copia	Ale	complete	4870	475		
LTR_retrotransposon	Copia	Ale	complete	4870	308		
LTR_retrotransposon	Copia	Ale	complete	4871	141		
LTR_retrotransposon	Copia	Ale	complete	4871	144		
LTR_retrotransposon	Copia	Ale	complete	4871	317		
LTR_retrotransposon	Copia	Ale	complete	4871	486		
LTR_retrotransposon	Copia	Ale	complete	4872	196		
LTR_retrotransposon	Copia	Ale	complete	4872	163		
LTR_retrotransposon	Copia	Ale	complete	4872	255		
LTR_retrotransposon	Copia	Ale	complete	4874	324		
LTR_retrotransposon	Copia	Ale	complete	4874	310		
LTR_retrotransposon	Copia	Ale	complete	4874	154		
LTR_retrotransposon	Copia	Ale	complete	4874	307		
LTR_retrotransposon	Copia	Ale	complete	4876	351		
LTR_retrotransposon	Copia	Ale	complete	4876	153		
LTR_retrotransposon	Copia	Ale	complete	4877	163		
LTR_retrotransposon	Copia	Ale	complete	4877	284		
LTR_retrotransposon	Copia	Ale	complete	4878	296		
LTR_retrotransposon	Copia	Ale	complete	4878	321		
LTR_retrotransposon	Copia	Ale	complete	4878	177		
LTR_retrotransposon	Copia	Ale	complete	4878	156		
LTR_retrotransposon	Copia	Ale	complete	4879	163		
LTR_retrotransposon	Copia	Ale	complete	4879	173		
LTR_retrotransposon	Copia	Ale	complete	4879	317		
LTR_retrotransposon	Copia	Ale	complete	4879	236		
LTR_retrotransposon	Copia	Ale	complete	4881	151		
LTR_retrotransposon	Copia	Ale	complete	4881	353		
LTR_retrotransposon	Copia	Ale	complete	4881	163		
LTR_retrotransposon	Copia	Ale	complete	4882	163		
LTR_retrotransposon	Copia	Ale	complete	4882	423		
LTR_retrotransposon	Copia	Ale	complete	4882	153		
LTR_retrotransposon	Copia	Ale	complete	4882	296		
LTR_retrotransposon	Copia	Ale	complete	4882	170		
LTR_retrotransposon	Copia	Ale	complete	4883	326		
LTR_retrotransposon	Copia	Ale	complete	4883	228		
LTR_retrotransposon	Copia	Ale	complete	4883	318		
LTR_retrotransposon	Copia	Ale	complete	4884	225		
LTR_retrotransposon	Copia	Ale	complete	4885	153		
LTR_retrotransposon	Copia	Ale	complete	4885	221		
LTR_retrotransposon	Copia	Ale	complete	4886	162		
LTR_retrotransposon	Copia	Ale	complete	4887	329		
LTR_retrotransposon	Copia	Ale	complete	4887	308		
LTR_retrotransposon	Copia	Ale	complete	4887	153		
LTR_retrotransposon	Copia	Ale	complete	4888	223		
LTR_retrotransposon	Copia	Ale	complete	4888	301		
LTR_retrotransposon	Copia	Ale	complete	4888	327		
LTR_retrotransposon	Copia	Ale	complete	4888	321		
LTR_retrotransposon	Copia	Ale	complete	4889	308		
LTR_retrotransposon	Copia	Ale	complete	4889	214		
LTR_retrotransposon	Copia	Ale	complete	4889	144		
LTR_retrotransposon	Copia	Ale	complete	4891	311		
LTR_retrotransposon	Copia	Ale	complete	4891	322		
LTR_retrotransposon	Copia	Ale	complete	4891	166		
LTR_retrotransposon	Copia	Ale	complete	4891	314		
LTR_retrotransposon	Copia	Ale	complete	4892	154		
LTR_retrotransposon	Copia	Ale	complete	4892	195		
LTR_retrotransposon	Copia	Ale	complete	4893	181		
LTR_retrotransposon	Copia	Ale	complete	4893	145		
LTR_retrotransposon	Copia	Ale	complete	4893	153		
LTR_retrotransposon	Copia	Ale	complete	4893	245		
LTR_retrotransposon	Copia	Ale	complete	4894	223		
LTR_retrotransposon	Copia	Ale	complete	4895	113		
LTR_retrotransposon	Copia	Ale	complete	4895	474		
LTR_retrotransposon	Copia	Ale	complete	4896	170		
LTR_retrotransposon	Copia	Ale	complete	4896	288		
LTR_retrotransposon	Copia	Ale	complete	4897	400		
LTR_retrotransposon	Copia	Ale	complete	4897	308		
LTR_retrotransposon	Copia	Ale	complete	4897	163		
LTR_retrotransposon	Copia	Ale	complete	4897	324		
LTR_retrotransposon	Copia	Ale	complete	4897	321		
LTR_retrotransposon	Copia	Ale	complete	4897	283		
